lemma,Polarity
algoritmo,0.25
alguacil,-0.312
alguien,0.25
alguna_parte,-0.375
alguno,0.25
algómetro,-0.5
algún_lugar,-0.375
aliado,0.25
aliciente,0.438
aliento,0.313
alifafe,-0.375
aliforme,0.25
alifático,0.25
aligerar,0.5
aligerarse,-0.25
alimenticio,0.625
alimento_probiótico,0.25
alineado,0.275
alistado,0.25
aliviado,-0.333
aljófar,-0.375
allegro,0.375
allegro_con_spirito,0.5
allium_porrum,-0.25
allium_vineale,-0.25
allunyat,0.375
allá,0.375
alma_gemela,0.25
almendra_garrapiñada,-0.25
almohada,0.25
almorranas,-0.375
alocado,-0.2915
alopecia_areata,-0.25
alopécico,-0.5
alpende,-0.375
alpenstock,0.25
alquilable,0.5
alta_fidelidad,0.313
alta_traición,-0.25
altanero,-0.375
alterado,-0.375
alterar,-0.321
altercado,-0.531
alteridad,-0.25
alternado,0.25
alternante,0.25
alterne,0.25
alterno,0.25
alteza,0.25
altilocuente,0.5
altivez,0.25
altiveza,0.25
altruista,0.3125
altruísta,0.375
alucinación,-0.375
alucinado,0.25
alucinante,0.375
alucinógeno,0.25
alzado,0.25
alzaválvulas,-0.25
amabilidad,0.547
amable,0.688
amado,0.5
amaestrado,0.375
amaestrar,0.375
amalgamado,0.5
amalgamativo,0.25
amamantar,0.375
amanecida,0.25
amanita_mappa,-0.375
amar,1.0
amargado,-0.375
amargo,-0.375
amargor,-0.25
amargura,-0.5
amarillento,0.25
amarillo,0.375
amarillo_canario,0.375
amateur,0.25
amatista,0.375
amativo,0.25
amaurosis,-0.25
amaurótico,-0.25
amañar,-0.3
ambidiestro,0.4375
ambientalista,-0.25
ambiguo,-0.312
ambivalencia,0.375
ambivalente,0.375
ambliopía,-0.375
ambrosiaco,0.375
ambrosíaco,0.375
ameliorar,0.5
amenaza,-0.437
amenaza_de_aborto,-0.375
amenazado,-0.25
amenazador,-1.0
amenazadoramente,-0.312
amenazar,-0.275
amencia,-0.75
amenidad,1.0
ameno,0.75
amenorreico,-0.25
amentífero,0.5
ametista,0.375
ametralladora_thompson,-0.25
amigabilidad,-0.25
amigable,0.542
amigdala_cerebral,0.25
amigdalina,-0.25
amigo_por_correspondencia,0.375
amilanamiento,-0.375
amiloidosis,-0.375
aminoración,-0.25
aminorado,-0.5
amiodarona,-0.25
amistoso,0.708
amnesia,-0.25
amnesia_retrógrada,-0.5
amniocentesis,0.25
amnésico,-0.625
amnéstico,-0.25
amo_de_la_casa,0.25
amoblar,0.25
amonestaciones,0.25
amonestar,-0.3
amonítico,-0.25
amor,0.278
amor_fraternal,0.375
amor_libre,0.25
amorfo,-0.25
amoroso,0.625
amortecerse,-0.625
amortecimiento,-0.25
amotinado,0.25
amotinador,0.375
amotinamiento,-0.25
amotinarse,-0.375
amovible,0.5
ampliamente,0.313
amplio,0.393
ampollar,-0.875
ampulosidad,-0.437
ampuloso,-0.375
amueblado,0.25
amárico,0.25
amétrope,-0.25
anabaptismo,0.25
anabolismo,0.25
anacantos,-0.25
anaclisis,0.25
anacoreta,0.375
anacorítico,0.5
anadeo,-0.25
anaerobio,0.375
anaeróbico,0.375
anafrodisia,-0.25
anagógico,0.25
analfabetismo,-0.5
analfabeto,-0.417
analgesia,-0.375
analgia,-0.375
analgésico,0.0
analgético,0.25
analizable,0.25
analizado,0.25
analizador_diferencial,0.25
analéptico,0.375
anamorfismo,0.25
anaplasia,-0.25
anaplásico,-0.25
anaplástico,-0.25
anaranjado,0.375
anarquía,-0.5
anasarcoso,0.25
anastomus,-0.25
anatematizar,-0.5
anatomista,0.25
anatomía_aplicada,0.25
anatomía_clínica,0.25
anatómicamente,0.25
anatómico,-0.25
anchura,0.292
andanada,-0.437
andante,0.25
andesita,-0.375
andrajo,-0.25
androfobia,-0.25
anejo,0.438
anemia,-0.375
anemia_perniciosa,-0.375
anestesia,-0.5
anestésico,-0.3125
anestésico_total,-0.25
anexo,0.344
anfipróstilo,0.375
anfiprótico,0.375
anfípodo,0.375
anfótero,0.375
angelical,0.583
angina_de_pecho,-0.25
anginal,-0.5
anginas,-0.375
anginoso,-0.5
angiopatía,-0.25
angioplastia,-0.25
anglofilia,0.625
anglofobia,-0.625
anglohablante,0.25
angloparlante,0.25
anglófobo,-0.25
angurria,-0.25
angustia,-0.589
angustia_mental,-0.625
angustiado,-0.65
angustiar,-1.0
angustiosamente,-0.75
angustioso,-0.5
angélicamente,0.25
angélico,0.375
anhidrosis,-0.25
anieblarse,-0.25
animación,0.25
animadamente,0.25
animado,0.494
animadversión,-0.5
animal,0.25
animal_colmilludo,0.25
animal_doméstico,0.25
animal_en_cautividad,0.25
animales,-0.25
animar,0.289
animarse,0.25
aniquilación,-0.5
aniquilado,-0.375
aniquilador,-0.3125
aniquilamiento,-0.5
aniñado,0.375
anión,-0.25
aniónico,-0.25
anodino,-0.375
anonadar,-0.312
anopía,-0.25
anorexia,-0.25
anosmia,-0.333
anosmático,-0.25
anotador,0.25
anovulación,-0.25
anoxemia,-0.25
anoxia,-0.25
anquilosis,-0.5
ansiosamente,-0.5
antagonista,-0.312
antagonizar,-0.5
ante-mortem,-0.5
antebrazo,0.25
antecocina,-0.375
antena_yagi,0.25
antender,0.375
anteojos,-0.25
antheraea,0.375
anthonomus,-0.25
antiadherente,0.375
antiautoritario,0.25
antiaéreo,0.0
anticipador,-0.375
anticiparse,0.25
anticlimático,0.25
anticuario,0.25
antideportivo,-0.25
antiestético,-1.0
antifonal,0.25
antifonario,0.25
antihelmíntico,0.625
antihigiene,-0.25
antihigiénico,-0.375
antiintelectual,-0.312
antimacasar,-0.25
antimicrobiano,0.625
antimonopolio,0.5
antipatriótico,-0.75
antipatía,-0.542
antipirético,-0.25
antiprotón,-0.375
antipático,-0.04150000000000001
antisemitismo,-0.25
antisocial,-0.25
antisubmarino,-0.25
antiséptico,0.5
antitanque,0.25
antitóxico,0.375
antiácido,0.375
antiápex,0.25
antracita,-0.375
antracosis,-0.375
antracítico,-0.25
antro,-0.25
antropofagia,0.375
antropomórfico,0.25
antroposofía,0.25
antílope,0.25
antípoda,0.25
antítesis,0.25
anual,0.25
anuencia,0.313
anuresis,-0.25
anuria,-0.25
anurético,-0.375
anverso,0.25
análisis_metodológico,0.25
análisis_volumétrico,0.25
análogo,0.292
anómalo,-0.25
anósmico,-0.312
anóxico,-0.25
aojar,-0.25
aojo,-0.25
apacible,0.313
apaciguable,0.625
apaciguador,0.5
apaciguarse,0.375
apadrinamiento,0.25
apagado,-0.25
apalear,-0.312
aparato_acústico,0.375
aparatosidad,-0.75
apareado,0.5
aparentar,-0.375
aparente,0.25
apartadero,-0.25
aparte,-0.25
apasionado,0.469
apasionamiento,0.25
apasionante,0.5
apatía,-0.469
apechar,-0.625
apegado,0.75
apego,0.375
apelable,0.25
apelante,-0.5
apenado,-0.458
apenar,-0.281
apenarse,-0.875
apenas,-0.312
apesadumbrado,-0.5
apestar,-0.375
apestoso,-0.917
apetecido,-0.25
apetencia,-0.25
apetitivo,-0.25
apetitoso,0.292
apical,0.375
aplacable,0.375
aplacamiento,0.469
aplanético,0.5
aplastarse,-0.375
aplaudir,0.625
aplauso,0.458
aplicabilidad,0.375
aplicable,0.5
aplicado,0.5
aplicarse,0.25
aplomar,0.25
apocado,-0.292
apocalipsis,-0.5
apocalíptico,-0.437
apocamiento,-0.406
apocar,-0.687
apocarse,-0.375
apocromático,0.25
apocárpico,0.375
apodar,0.25
apoderamiento,0.25
apodíctico,0.5
apogámico,-0.25
apolar,-0.25
apología,0.333
apoplejía,-0.375
apoptosis,-0.25
aporreo,-0.25
apostatar,-0.25
apoyabrazos,0.25
apoyado,0.5
apoyo_logístico_integrado,0.25
apoyo_logístico_internacional,0.25
apreciable,0.25
apreciado,0.875
apreciar,0.375
aprecio,0.344
aprehensión,-0.312
aprehensión_inmediata,-0.375
aprendido,0.5
aprensivo,-0.375
aprensión,-0.312
apresamiento,-0.25
aprestar,0.25
aprestarse,0.25
apresurado,0.25
apretura,-0.625
aprieto,-0.625
aprisionamiento,-0.375
aprisionar,-0.25
aprobación,0.359
aprobado,0.5625
aprobar,0.375
aprobar_formalmente,0.375
aprobativo,1.0
aprobatorio,1.0
apropiado,0.656
aprovechable,0.375
aprovechar,0.417
aprovisionador,0.25
aproximado,0.25
apráctico,-0.375
apráxico,-0.375
aptitud,0.542
apto,0.557
apuesto,0.688
apurar,-0.375
apurarse,-0.35
apuro,-0.25
apuñear,-0.375
apuñetear,-0.375
apático,-0.281
apátrida,0.25
apócope,0.25
apócrifo,0.25
apófisis_transversa,0.25
aquafobia,-0.375
aquiescencia,-0.25
aquí_y_allá,-0.25
arable,0.5
aracnofobia,-0.25
arador,-0.25
arar,-0.25
arbitrable,0.375
arbitrario,0.313
arbitrio,0.25
arbusto,-0.25
arcadiano,0.25
arcano,0.3125
arcaísta,0.25
archimandita,0.375
archimandrita,0.375
archivo_maestro,-0.25
arco_Tudor,-0.25
arcoiris,-0.25
ardentía,-0.5
ardiente,0.313
ardor_de_estómago,-0.5
ardores,-0.5
arduidad,-0.375
area_de_jurisdicción,0.25
argentífero,0.25
arginina,-0.25
argot,0.375
argucia,-0.458
argumentos_especiosos,-0.375
argénteo,0.375
aridad,0.25
ariete,0.25
arisco,-0.675
aristocrático,0.438
aristoloquiales,-0.25
aristotelismo,0.375
aritmética,0.25
aritméticamente,0.375
arlequinada,0.375
arma_de_fuego_portátil,-0.25
arma_nuclear,-0.25
arma_portátil,-0.25
armado,0.333
armerol,-0.25
arminianismo,0.25
armonioso,0.792
armonía,0.3
aro_de_nariz,-0.25
arponear,0.25
arqueado,0.25
arquitectura_paisajista,0.25
arracimado,0.25
arrapiezo,-0.25
arrasamiento,-0.5
arrebatador,0.25
arreflexia,-0.375
arreglarse_el_pelo,0.25
arreglo_personal,0.25
arrellanarse,-0.25
arremeter,-0.25
arremeter_contra,-0.5
arrepentido,-0.5
arrepentimiento,-0.375
arrestar,-0.25
arriana,-0.25
arriano,-0.25
arriar,-0.25
arriba,0.25
arriesgado,-0.25
arrizar,-0.625
arrobamiento,0.25
arrobar,-0.375
arrogancia,-0.25
arrogante,-0.375
arrojado,0.75
arrojar_la_toalla,-0.25
arrollador,0.375
arruinamiento,-0.5
arruinar,-0.319
arruinarse,-0.625
arrullo,0.25
arseniato_de_plomo,-0.375
arsina,-0.375
art_decó,0.25
arte_teatral,0.375
artefacto,0.375
arteria_alveolar_inferior,-0.375
arteria_cerebelosa_inferior,-0.5
arteria_cerebolosa_superior,0.25
arteria_circunfleja_ilíaca,-0.25
arteria_comunicante,0.25
arteria_intestinal,0.25
arteria_labial_inferior,-0.375
arterias_comunicantes,0.25
artería,-0.25
artes,0.375
artesanal,0.375
artesanía,0.417
articulación_temporomandibular,-0.375
articulatio_temporomandibularis,-0.375
artificio,-0.375
artificiosa,-0.25
artralgia,-0.5
artritis,-0.25
artroscopia,-0.25
artrálgico,-0.375
artístico,0.417
arácnido,0.25
asa_fétida,-0.25
asafétida,-0.25
asaltador,-0.25
asaltante,-0.375
asalto,-0.25
asalto_a_mano_armada,-0.25
asarum,-0.375
asbestosis,-0.375
ascendente,0.375
ascendible,0.5
ascendiente,0.417
ascidias,-0.25
asco,-0.357
ascítico,-0.25
aseado,0.313
asediar,-0.25
asedio,-0.25
asegurado,0.375
asentista,0.25
aseo,0.25
aserrar,0.375
asertividad,-0.375
asesina,-0.25
asesinar,-0.625
asesinato,-0.625
asesinato_mafioso,-0.5
asesinato_público,-0.75
asesinato_ritual,-0.375
asesino,-0.875
asesino_a_sueldo,-0.375
asesino_en_serie,-0.25
asesor,0.3125
asesora,0.375
asesoramiento,0.25
asexualidad,-0.25
asibilación,0.375
asiento_de_palco,0.25
asignado,0.25
asignatura,0.25
asimetría,-0.875
asimilable,0.375
asimilador,0.375
asindético,-0.25
asintomático,0.375
asirse,-0.25
asistencia_postoperatoria,0.25
asistencia_social,0.25
asistente_de_hospital,-0.25
asistente_social,0.25
asistido,0.375
asistolia,-0.375
asma,-0.25
asno,-0.25
asno_africano,-0.25
asno_salvaje_africano,-0.25
asno_salvaje_asiático,-0.25
asociable,0.5
asociado,0.313
asolador,-0.625
asolar,-0.5
asomar_la_cabeza,-0.25
asombrado,0.25
asombro,0.375
asombroso,0.333
asonada,-0.375
asonante,0.25
asordar,0.25
aspereza,-0.25
aspergilosis,-0.312
aspirante,0.25
asqueadamente,-0.5
asqueado,-0.25
asquear,-0.437
asquerosidad,-0.312
asqueroso,-0.575
astado,0.375
astenia,-0.375
asterión,0.25
astilar,-0.375
astracanada,-0.375
astrafobia,-0.5
astronave,0.25
astuta,-0.5
astuto,-0.11599999999999999
asténico,-0.25
asurarse,-0.375
asustadizo,0.375
aséptico,0.5
asíduo,0.625
atacante,-0.5
atacar,-0.3
atacar_por_sorpresa,-0.375
atado,0.271
ataque,-0.307
ataque_al_corazón,-0.375
ataque_aéreo,-0.375
ataque_de_nervios,-0.875
ataque_de_pánico,-0.5
ataque_por_tierra,-0.25
ataque_repentino,-0.5
ataque_sorpresa,-0.75
ataráxico,0.375
ataviado,0.25
ataviarse,0.417
ataxia,-0.375
atañer,-0.25
atelectasia,-0.25
atemperación,-0.25
atemperar,0.25
atencional,-0.25
atención_de_enfermería,0.375
atendido,0.25
atento,0.341
atenuante,0.25
aterrador,-0.5
aterrorizado,-0.25
atesarse,-0.25
atestado,0.375
atezado,-0.625
atildar,0.25
atirantarse,-0.25
atisbadero,-0.25
atlas_lingüístico,0.25
atlético,0.25
atolladero,-0.5
atonal,0.25
atonía,-0.625
atorar,0.25
atormentado,-0.437
atormentador,-0.25
atormentar,-0.391
atormentarse,-0.5
atorvastatina,0.25
atosigador,-0.312
atracción_alternativa,-0.375
atracción_de_feria,0.25
atraco,-0.292
atraco_a_mano_armada,-0.25
atractividad,0.625
atractivo,0.6719999999999999
atractor,0.25
atrapado,-0.25
atrapamoscas,-0.375
atrapar,-0.341
atrasarse,-0.5
atrayente,0.583
atraíble,0.25
atreverse,-0.25
atrevimiento,-0.297
atribuible,0.375
atribuirse,0.25
atribulación,-0.25
atrocidad,-0.328
atrofia,-1.0
atrofiarse,-0.625
atronador,-0.25
atropellar,-0.25
atroz,-0.672
atuendo,0.375
atufamiento,-0.437
atufo,-0.437
aturdimento,-0.625
aturrullar,-0.375
aturullar,-0.375
atávico,0.375
atípico,-0.312
atónito,0.25
audacia,-0.25
audaz,-0.333
audibilidad,0.375
audiovisual,0.25
audífono,-0.375
augusto,0.375
aullar_de_risa,0.25
ausencia_de_persuasión,-0.25
ausentismo,-0.25
ausentismo_escolar,-0.25
auspicio,0.25
autenticidad,0.25
autentificar,0.292
autería,-0.375
autillo,0.25
autismo,-0.25
auto-gratificación,0.25
auto_de_comparecencia,-0.25
auto_de_fe,-0.375
autoadulación,0.25
autobombo,0.25
autocastigo,-0.375
autocine,0.25
autocompasión,-0.25
autocomplacencia,0.625
autoconservación,-0.25
autodegradación,-0.25
autodestructivo,-0.875
autodidacta,0.4375
autodisciplinado,-0.25
autoengaño,0.25
autofecundado,0.375
autoflagelación,-0.437
autogénesis,0.375
autoimpuesto,0.625
autoincriminación,-0.75
autoinculpación,-0.75
automatizado,0.375
automortificación,-0.25
autopolinizado,0.375
autopreservación,-0.25
autopsia,-0.375
autorizado,0.437
autosuficiente,0.5
autotomía,-0.25
autotormento,-0.75
autotortura,-0.75
autotrófica,0.25
autovolquete,0.25
auténtico,0.268
autócrata,-0.25
auxiliar,0.542
auxilio,0.375
avanzado,0.281
avanzarse,0.375
avançat,0.375
avaricia,-0.333
avaricioso,-0.583
avaro,-0.5
avasallar,-0.375
ave,0.25
ave_canora,0.25
ave_de_rapiña,-0.25
avenencia,0.25
avenirse,0.25
aventar,-0.5
aventura_riesgosa,-0.375
aventurado,-0.75
aventurismo,-0.25
avergonzado,-0.25
avergonzante,-0.5
avergonzar,-0.375
avergonzarse,-0.25
averiguable,0.5
averno,-0.875
aversión,-0.359
aversión_homicida,-0.25
avidez_de_sangre,-0.25
aviejarse,0.5
avinagrado,-0.562
avinagrar,0.25
aviso,-0.271
avispado,0.458
avistamiento,0.25
avitaminosis,-0.25
avitaminosis_B1,-0.5
avivado,0.5
axiología,0.25
axénico,0.625
ay,-0.5
ayuda,0.375
ayuda_audiovisual,0.25
ayuda_exterior,0.375
ayudado,0.375
ayudar,0.275
azabache,-0.375
azarosamente,-0.5
azidotimidina,-0.25
azitromicina,0.25
azoramiento,-0.312
azotar,-0.271
aztreonam,-0.5
azucarar,0.25
azul,0.25
azul-púrpura,-0.25
azul_celeste,0.2815
azul_de_Prusia,-0.25
azul_marino,0.0
azul_turquesa,-0.25
azulado,0.25
aéreo,0.25
añadible,0.375
añadir_una_imperfección,-0.5
añorar,-0.25
aún_no_nacido,-0.25
babel,-0.25
babera,-0.375
babirusa,-0.25
babucha,-0.375
bacanales,0.25
bactericida,0.375
bacteriología,-0.375
bacteriológico,-0.25
bacteriólisis,-0.375
badulaque,-0.458
bagel,-0.25
baja_calidad,-0.375
baja_de_personal,-0.5
baja_deshonrosa,-0.375
bajas_presiones,-0.375
bajeza,-0.375
bajista,-0.375
bajura,-0.375
bajá,-0.25
bala_de_mosquete,-0.25
bala_dumdum,-0.25
balance_final,0.375
baldado,-0.5
baldío,-0.25
baldón,-0.375
balido,0.25
balizar,-0.375
ballet_clásico,0.375
balonvolea,0.375
balístico,-0.25
balón_medicinal,0.25
bamboleo,-0.25
banas,0.25
bandeja_de_té,0.25
bandeja_del_té,0.25
bandido,-0.292
banquillo_de_los_acusados,-0.25
banshee,-0.375
banteng,-0.375
barahunda,-0.375
barato,0.292
barbarie,-0.344
barbarismo,-0.375
barbote,-0.375
barbulla,-0.375
barco_de_guerra,-0.25
barra_de_cacahuetes,-0.25
barrado,0.25
barrenar,0.25
barrera,-0.292
barrera_lingüística,0.25
barrigudo,0.292
barrigón,0.375
barrila,-0.292
barrillo,-0.25
basa,0.25
basalto,-0.25
basamento,0.25
basca,-0.25
base,-0.25
base_de_operaciones,-0.25
basofílico,0.25
bastante,0.5
bastar,0.375
bastardo,-0.578
bastardía,-0.312
bastedad,-0.75
basto,-0.384
bastón_ligero_de_paseo,-0.25
bastón_montañero,0.25
basáltico,-0.25
bata_de_baño,-0.25
batahola,-0.292
batalla_campal,-0.333
batalla_de_Brunanburh,-0.375
